ean;imagen_grande;imagen_espalda;imagen_detalle;imagen_detalle2;modelo
7701701929661;https://aatdtkgdoo.cloudimg.io/v7/http://www.puntoblanco.com.co/wcsstore/CrystalCo_CAT_AS/PBC/ES-CO/Imagenes/Hombres/Deportivo/Pro_Tour/1000x1263/Manga-Hombre-Pro-Tour-Verde-27579-Frente-Punto-Blanco.jpg?sharp=1&height=1000&width=1000;;;;
7701701937192;https://aatdtkgdoo.cloudimg.io/v7/http://www.puntoblanco.com.co/wcsstore/CrystalCo_CAT_AS/PBC/ES-CO/Imagenes/Hombres/Accesorios/Manga_Ciclismo/1000x1263/Mangas-Hombre-Ciclismo-Blanco-966-Frente-Punto-Blanco.jpg?sharp=1&height=1000&width=1000;;;;
7701701937208;https://aatdtkgdoo.cloudimg.io/v7/http://www.puntoblanco.com.co/wcsstore/CrystalCo_CAT_AS/PBC/ES-CO/Imagenes/Hombres/Accesorios/Manga_Ciclismo/1000x1263/Mangas-Hombre-Ciclismo-Naranja-Fluorescente-2756-Frente-Punto-Blanco.jpg?sharp=1&height=1000&width=1000;;;;
7701701937215;https://aatdtkgdoo.cloudimg.io/v7/http://www.puntoblanco.com.co/wcsstore/CrystalCo_CAT_AS/PBC/ES-CO/Imagenes/Hombres/Accesorios/Manga_Ciclismo/1000x1263/Mangas-Hombre-Ciclismo-Morado-Neon-4582-Frente-Punto-Blanco.jpg?sharp=1&height=1000&width=1000;;;;
7701701937222;https://aatdtkgdoo.cloudimg.io/v7/http://www.puntoblanco.com.co/wcsstore/CrystalCo_CAT_AS/PBC/ES-CO/Imagenes/Hombres/Accesorios/Manga_Ciclismo/1000x1263/Mangas-Hombre-Ciclismo-Verde-Turquesa-6265-Frente-Punto-Blanco.jpg?sharp=1&height=1000&width=1000;;;;
7701701937239;https://aatdtkgdoo.cloudimg.io/v7/http://www.puntoblanco.com.co/wcsstore/CrystalCo_CAT_AS/PBC/ES-CO/Imagenes/Hombres/Accesorios/Manga_Ciclismo/1000x1263/Mangas-Hombre-Ciclismo-Verde-Neon-6506-Frente-Punto-Blanco.jpg?sharp=1&height=1000&width=1000;;;;
7701701937246;https://aatdtkgdoo.cloudimg.io/v7/http://www.puntoblanco.com.co/wcsstore/CrystalCo_CAT_AS/PBC/ES-CO/Imagenes/Hombres/Accesorios/Manga_Ciclismo/1000x1263/Mangas-Hombre-Ciclismo-Negro-7047-Frente-Punto-Blanco.jpg?sharp=1&height=1000&width=1000;;;;
7701701937253;https://aatdtkgdoo.cloudimg.io/v7/http://www.puntoblanco.com.co/wcsstore/CrystalCo_CAT_AS/PBC/ES-CO/Imagenes/Hombres/Accesorios/Manga_Ciclismo/1000x1263/Mangas-Hombre-Ciclismo-Azul-Electrico-Brillante-27004-Frente-Punto-Blanco.jpg?sharp=1&height=1000&width=1000;;;;
7701701937260;https://aatdtkgdoo.cloudimg.io/v7/http://www.puntoblanco.com.co/wcsstore/CrystalCo_CAT_AS/PBC/ES-CO/Imagenes/Hombres/Accesorios/Manga_Ciclismo/1000x1263/Mangas-Hombre-Ciclismo-Blanco-966-Frente-Punto-Blanco.jpg?sharp=1&height=1000&width=1000;;;;
7701701937277;https://aatdtkgdoo.cloudimg.io/v7/http://www.puntoblanco.com.co/wcsstore/CrystalCo_CAT_AS/PBC/ES-CO/Imagenes/Hombres/Accesorios/Manga_Ciclismo/1000x1263/Mangas-Hombre-Ciclismo-Naranja-Fluorescente-2756-Frente-Punto-Blanco.jpg?sharp=1&height=1000&width=1000;;;;
