MATERIAL;DESCRIPCION_MATERIAL;DESCRIPCION_MATERIAL_ENRIQUECIDO;DESCRIPCION_LARGA;EAN;DESCRIPCION_TALLA;DESCRIPCION_COLOR;IMAGEN_GRANDE;TIPO_PRENDA;COMPOSICION_ES;GENERO;MARCA;DEPARTAMENTO;CARACTERISTICA;TAGS;GRUPO_DESTINO
720478;Camiseta para Mujer Pauli Negra M;Camiseta Pauli Negra M;<ul><li>Camiseta.</li><li>Manga sisa.</li><li>Escote redondo.</li><li>Tejido de punto Algodón con Elastano.</li><li>Silueta ajustada.</li></ul>;7703081336411;M;NEGRO INTENSO 799;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/CAMISETAS/Pauli/1000x1263/Camiseta-Mujer-Pauli-Negro-Intenso-799-Frente-Gef.jpg?sharp=1&height=400&width=400;CAMISETAS;;FEMENINO;GEF;ADULTOS;SISA ENTRADA;camiseta, camiseta para mujer, camiseta manga sisa, camiseta cuello redondo, camiseta basica, camiseta negra para mujer, basica manga sisa, ropa para mujer, camiseta casual, camiseta oficina, basicos para mujer, esqueleto mujer.;MUJER JOVEN
720478;Camiseta para Mujer Pauli Blanca M;Camiseta Pauli Blanca M;<ul><li>Camiseta.</li><li>Manga sisa.</li><li>Escote redondo.</li><li>Tejido de punto Algodón con Elastano.</li><li>Silueta ajustada.</li></ul>;7703081336428;M;BLANCO 900;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/CAMISETAS/Pauli/1000x1263/Camiseta-Mujer-Pauli-Blanco-900-Frente-Gef.jpg?sharp=1&height=400&width=400;CAMISETAS;;FEMENINO;GEF;ADULTOS;SISA ENTRADA;camiseta, camiseta para mujer, camiseta manga sisa, camiseta cuello redondo, camiseta basica, camiseta blanca para mujer, basica manga sisa, ropa para mujer, camiseta casual, camiseta oficina, basicos para mujer, esqueleto mujer.;MUJER JOVEN
720478;Camiseta Pauli Negra L;Camiseta Pauli Negra L;<ul><li>Camiseta.</li><li>Manga sisa.</li><li>Escote redondo.</li><li>Tejido de punto Algodón con Elastano.</li><li>Silueta ajustada.</li></ul>;7703081336442;L;NEGRO INTENSO 799;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/CAMISETAS/Pauli/1000x1263/Camiseta-Mujer-Pauli-Negro-Intenso-799-Frente-Gef.jpg?sharp=1&height=400&width=400;CAMISETAS;;FEMENINO;GEF;ADULTOS;SISA ENTRADA;camiseta, camiseta para mujer, camiseta manga sisa, camiseta cuello redondo, camiseta basica, camiseta negra para mujer, basica manga sisa, ropa para mujer, camiseta casual, camiseta oficina, basicos para mujer, esqueleto mujer.;MUJER JOVEN
720478;Camiseta para Mujer Pauli Blanca L;Camiseta Pauli Blanca L;<ul><li>Camiseta.</li><li>Manga sisa.</li><li>Escote redondo.</li><li>Tejido de punto Algodón con Elastano.</li><li>Silueta ajustada.</li></ul>;7703081336459;L;BLANCO 900;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/CAMISETAS/Pauli/1000x1263/Camiseta-Mujer-Pauli-Blanco-900-Frente-Gef.jpg?sharp=1&height=400&width=400;CAMISETAS;;FEMENINO;GEF;ADULTOS;SISA ENTRADA;camiseta, camiseta para mujer, camiseta manga sisa, camiseta cuello redondo, camiseta basica, camiseta blanca para mujer, basica manga sisa, ropa para mujer, camiseta casual, camiseta oficina, basicos para mujer, esqueleto mujer.;MUJER JOVEN
703944;Short para Mujer Tamara 2 Short Café 4;Short Tamara 2 Cafe 4;<ul><li>Short.</li><li>Tiro medio.</li><li>Bolsillos diagonales en frente y falso bolsillo ribete en trasero.</li><li>Cierre frontal con cremallera, botón y gancho metálico internos.</li><li>Tejido plano Algodón con Elastano.</li><li>Silueta ajustada.</li></ul>;7703081337661;4;CAFE 8412;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/BERMUDAS/Tamara_2_Short/1000x1263/Bermuda-Mujer-Tamara-2-Short-Cafe-8412-Frente-Gef.jpg?sharp=1&height=400&width=400;PANTALONES;0000-00-00 00:00:00.000000;FEMENINO;GEF;ADULTOS;;short, short mujer, tejido plano, con bolsillos, pantalón corto, verano, días soleados, ajuste, cierre, tiro medio, amarillo, café, frescura;MUJER JOVEN
703944;Short Tamara 2 Cafe 6;Short Tamara 2 Cafe 6;<ul><li>Short.</li><li>Tiro medio.</li><li>Bolsillos diagonales en frente y falso bolsillo ribete en trasero.</li><li>Cierre frontal con cremallera, botón y gancho metálico internos.</li><li>Tejido plano Algodón con Elastano.</li><li>Silueta ajustada.</li></ul>;7703081337685;6;CAFE 8412;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/BERMUDAS/Tamara_2_Short/1000x1263/Bermuda-Mujer-Tamara-2-Short-Cafe-8412-Frente-Gef.jpg?sharp=1&height=400&width=400;PANTALONES;0000-00-00 00:00:00.000000;FEMENINO;GEF;ADULTOS;;short, short mujer, tejido plano, con bolsillos, pantalón corto, verano, días soleados, ajuste, cierre, tiro medio, amarillo, café, frescura;MUJER JOVEN
703944;Short Tamara 2 Cafe 8;Short Tamara 2 Cafe 8;<ul><li>Short.</li><li>Tiro medio.</li><li>Bolsillos diagonales en frente y falso bolsillo ribete en trasero.</li><li>Cierre frontal con cremallera, botón y gancho metálico internos.</li><li>Tejido plano Algodón con Elastano.</li><li>Silueta ajustada.</li></ul>;7703081337708;8;CAFE 8412;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/BERMUDAS/Tamara_2_Short/1000x1263/Bermuda-Mujer-Tamara-2-Short-Cafe-8412-Frente-Gef.jpg?sharp=1&height=400&width=400;PANTALONES;0000-00-00 00:00:00.000000;FEMENINO;GEF;ADULTOS;;short, short mujer, tejido plano, con bolsillos, pantalón corto, verano, días soleados, ajuste, cierre, tiro medio, amarillo, café, frescura;MUJER JOVEN
703944;Short Tamara 2 Cafe 10;Short Tamara 2 Cafe 10;<ul><li>Short.</li><li>Tiro medio.</li><li>Bolsillos diagonales en frente y falso bolsillo ribete en trasero.</li><li>Cierre frontal con cremallera, botón y gancho metálico internos.</li><li>Tejido plano Algodón con Elastano.</li><li>Silueta ajustada.</li></ul>;7703081337722;10;CAFE 8412;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/BERMUDAS/Tamara_2_Short/1000x1263/Bermuda-Mujer-Tamara-2-Short-Cafe-8412-Frente-Gef.jpg?sharp=1&height=400&width=400;PANTALONES;0000-00-00 00:00:00.000000;FEMENINO;GEF;ADULTOS;;short, short mujer, tejido plano, con bolsillos, pantalón corto, verano, días soleados, ajuste, cierre, tiro medio, amarillo, café, frescura;MUJER JOVEN
703944;Short Tamara 2 Cafe 12;Short Tamara 2 Cafe 12;<ul><li>Short.</li><li>Tiro medio.</li><li>Bolsillos diagonales en frente y falso bolsillo ribete en trasero.</li><li>Cierre frontal con cremallera, botón y gancho metálico internos.</li><li>Tejido plano Algodón con Elastano.</li><li>Silueta ajustada.</li></ul>;7703081337746;12;CAFE 8412;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/BERMUDAS/Tamara_2_Short/1000x1263/Bermuda-Mujer-Tamara-2-Short-Cafe-8412-Frente-Gef.jpg?sharp=1&height=400&width=400;PANTALONES;0000-00-00 00:00:00.000000;FEMENINO;GEF;ADULTOS;;short, short mujer, tejido plano, con bolsillos, pantalón corto, verano, días soleados, ajuste, cierre, tiro medio, amarillo, café, frescura;MUJER JOVEN
703944;Short Tamara 2 Cafe 14;Short Tamara 2 Cafe 14;<ul><li>Short.</li><li>Tiro medio.</li><li>Bolsillos diagonales en frente y falso bolsillo ribete en trasero.</li><li>Cierre frontal con cremallera, botón y gancho metálico internos.</li><li>Tejido plano Algodón con Elastano.</li><li>Silueta ajustada.</li></ul>;7703081337760;14;CAFE 8412;https://aatdtkgdoo.cloudimg.io/v7/http://www.gef.com.co/wcsstore/CrystalCo_CAT_AS/2019/Gef/ES-CO/Imagenes/Mujeres/BERMUDAS/Tamara_2_Short/1000x1263/Bermuda-Mujer-Tamara-2-Short-Cafe-8412-Frente-Gef.jpg?sharp=1&height=400&width=400;PANTALONES;0000-00-00 00:00:00.000000;FEMENINO;GEF;ADULTOS;;short, short mujer, tejido plano, con bolsillos, pantalón corto, verano, días soleados, ajuste, cierre, tiro medio, amarillo, café, frescura;MUJER JOVEN
