[2021-07-28 15:18:19,854: INFO   ] pid: 17044
[2021-07-28 18:56:28,960: INFO   ] Stopping Celery_pim service ...
[2021-07-28 18:56:29,103: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-28 18:56:32,879: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-28 18:56:33,039: INFO   ] Starting dmartine Celery_pim service ...
[2021-07-28 18:56:33,039: INFO   ] cwd: D:\PIM\PIM\pim
[2021-07-28 18:56:33,039: INFO   ] command: "D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts\celery.exe" -A pim worker -f "D:\PIM\PIM\pim\celery.log" -l info 
[2021-07-28 18:56:33,229: INFO   ] pid: 5488
[2021-07-28 19:17:52,979: INFO   ] Stopping Celery_pim service ...
[2021-07-28 19:17:53,019: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-28 19:17:55,903: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-28 19:17:56,040: INFO   ] Starting dmartine Celery_pim service ...
[2021-07-28 19:17:56,040: INFO   ] cwd: D:\PIM\PIM\pim
[2021-07-28 19:17:56,040: INFO   ] command: "D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts\celery.exe" -A pim worker -f "D:\PIM\PIM\pim\celery.log" -l info 
[2021-07-28 19:17:56,064: INFO   ] pid: 12460
[2021-07-28 19:35:52,559: INFO   ] Stopping Celery_pim service ...
[2021-07-28 19:35:52,639: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-28 19:35:54,919: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-28 19:35:55,114: INFO   ] Starting dmartine Celery_pim service ...
[2021-07-28 19:35:55,114: INFO   ] cwd: D:\PIM\PIM\pim
[2021-07-28 19:35:55,115: INFO   ] command: "D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts\celery.exe" -A pim worker -f "D:\PIM\PIM\pim\celery.log" -l info 
[2021-07-28 19:35:55,163: INFO   ] pid: 18776
[2021-07-29 08:20:06,777: INFO   ] Stopping Celery_pim service ...
[2021-07-29 08:20:06,860: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-29 08:20:10,312: INFO   ] user D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts
[2021-07-29 08:20:10,423: INFO   ] Starting dmartine Celery_pim service ...
[2021-07-29 08:20:10,423: INFO   ] cwd: D:\PIM\PIM\pim
[2021-07-29 08:20:10,423: INFO   ] command: "D:\Users\Administrador\AppData\Local\Programs\Python\Python38\Scripts\celery.exe" -A pim worker -f "D:\PIM\PIM\pim\celery.log" -l info 
[2021-07-29 08:20:10,431: INFO   ] pid: 6700
